"ROAD TRIP CSV """,".""",,,,,,,,,,,,,
Odometer (mi),Trip Distance,Date,Fill Amount,Fill Units,Price per Unit,Total Price,Partial Fill,MPG,Note,Octane,Reset,Currency Code,Currency Rate,ID
18,18,2014-8-25 18:31,19,Gal,,,,,,Regular,Reset,,1,1
237,219,2014-8-31 14:30,12.8,Gal,2.409,30.84,,17.1094,,Regular,,,1,2
483,246,2014-9-6 7:34,13.442,Gal,2.639,35.47,,18.3008,,Regular,,,1,3
625,142,2014-9-10 17:21,7.775,Gal,3.47,26.98,,18.2637,,Regular,,,1,4
852,227,2014-9-17 8:07,12.51,Gal,3.439,43.02,,18.1455,,Regular,,,1,5
1054,202,2014-9-23 8:55,11.724,Gal,3.399,39.85,,17.2296,,Regular,,,1,6
1209,155,2014-9-27 12:50,8.935,Gal,3.599,32.16,,17.3475,,Regular,,,1,7
1398,189,2014-10-3 8:58,10.58,Gal,3.419,36.17,,17.8639,,Regular,,,1,8
1588,190,2014-10-9 8:28,11.458,Gal,3.399,38.95,,16.5823,,Regular,,,1,9
1822,234,2014-10-12 12:49,12.642,Gal,3.579,45.25,,18.5097,,Regular,,,1,10
2079,257,2014-10-16 8:39,13.781,Gal,3.499,48.22,,18.6489,,Regular,,,1,11
2290,211,2014-10-23 8:47,10.2344,Gal,3.259,33.35,Partial,17.3543,,Regular,,,1,12
2441,151,2014-10-28 8:53,10.625,Gal,3.259,34.63,,17.3543,,Regular,,,1,13
2620,179,2014-11-4 8:50,10.072,Gal,3.259,32.82,,17.772,,Regular,,,1,14
2837,217,2014-11-14 9:08,12.289,Gal,3.179,39.07,,17.6581,,Regular,,,1,15
3042,205,2014-11-20 9:11,12.773,Gal,3.1197,39.85,,16.0495,,Regular,,,1,16
3258,216,2014-12-1 8:53,10.872,Gal,3.079,33.47,Partial,16.2369,,Regular,,,1,17
3399,141,2014-12-4 11:57,11.115,Gal,3.049,33.89,,16.2369,,Regular,,,1,18
3591,192,2014-12-12 8:53,11.612,Gal,2.959,34.36,,16.5346,,Regular,,,1,19
3784,193,2014-12-19 13:12,11.71,Gal,2.879,33.71,,16.4816,,Regular,,,1,20
3977,193,2015-1-1 15:32,11.764,Gal,2.759,32.46,,16.406,,Regular,,,1,22
4175,198,2015-1-7 8:21,11.779,Gal,2.689,31.67,,16.8096,,Regular,,,1,24
4373,198,2015-1-14 17:24,12.329,Gal,2.559,31.55,,16.0597,,Regular,,,1,26
4576,203,2015-1-21 8:10,12.512,Gal,2.469,30.89,,16.2244,,Regular,,,1,28
4767,191,2015-1-27 18:08,11.715,Gal,2.399,28.1,,16.3039,,Regular,,,1,30
4981,214,2015-2-4 8:39,13.442,Gal,2.479,33.32,,15.9202,,Regular,,,1,32
5169,188,2015-2-9 17:39,11.666,Gal,2.369,27.64,,16.1152,,Regular,,,1,34
5305,136,2015-2-13 12:12,8.077,Gal,2.369,19.13,,16.8379,,Regular,,,1,36
5499,194,2015-2-18 17:18,10.38,Gal,2.379,24.69,,18.6898,,Regular,,,1,38
5693,194,2015-2-26 8:56,12.923,Gal,2.419,31.26,,15.012,,Regular,,,1,40
5909,216,2015-3-4 8:02,13.169,Gal,2.559,33.7,,16.4022,,Regular,,,1,42
6096,187,2015-3-9 10:02,11.02,Gal,2.479,27.32,,16.9691,,Regular,,,1,44
6315,219,2015-3-15 20:19,12.658,Gal,2.559,32.39,,17.3013,,Regular,,,1,46
6509,194,2015-3-22 12:59,11.733,Gal,2.499,29.32,,16.5346,,Regular,,,1,48
6713,204,2015-3-27 17:25,12.288,Gal,2.499,30.71,,16.6016,,Regular,,,1,50
6951,238,2015-4-2 8:23,13.01,Gal,2.459,31.99,,18.2936,,Regular,,,1,52
7194,243,2015-4-11 14:09,13.633,Gal,2.539,34.61,,17.8244,,Regular,,,1,54
7453,259,2015-4-21 14:14,14.382,Gal,2.519,36.23,,18.0086,,Regular,,,1,56
7591,138,2015-4-25 11:56,7.728,Gal,2.659,20.55,,17.8571,,Regular,,,1,58
7847,256,2015-5-1 17:36,14.376,Gal,2.899,41.68,,17.8075,,Regular,,,1,60
8104,257,2015-5-16 10:43,7.657,Gal,2.739,20.97,Partial,18.8653,,Regular,,,1,62
8255,151,2015-5-21 8:49,13.97,Gal,2.649,37.01,,18.8653,,Regular,,,1,64
8484,229,2015-5-29 17:17,12.652,Gal,2.659,33.64,,18.0999,,Regular,,,1,66
8735,251,2015-6-6 12:10,13.903,Gal,2.839,39.47,,18.0537,,Regular,,,1,68
8923,188,2015-6-12 16:15,10.436,Gal,2.759,28.79,,18.0146,,Regular,,,1,70
9147,224,2015-6-19 17:26,12.587,Gal,2.799,35.23,,17.7961,,Regular,,,1,72
9403,256,2015-6-27 16:46,14.064,Gal,2.819,39.65,,18.2025,,Regular,,,1,74
9602,199,2015-7-2 7:13,11.07,Gal,2.919,32.31,,17.9765,,Regular,,,1,76
9834,232,2015-7-6 8:57,12.238,Gal,2.819,34.5,,18.9573,,Regular,,,1,78
10064,230,2015-7-19 12:30,13.052,Gal,2.799,36.53,,17.6218,,Regular,,,1,80
10266,202,2015-7-19 16:35,9.449,Gal,2.929,27.68,,21.3779,,Regular,,,1,82
10545,279,2015-7-23 12:33,14.034,Gal,2.739,38.44,,19.8803,,Regular,,,1,84
10754,209,2015-7-29 8:35,10.877,Gal,2.679,29.14,,19.2149,,Regular,,,1,86
11008,254,2015-8-4 12:52,14.042,Gal,2.719,38.18,,18.0886,,Regular,,,1,88
11208,200,2015-8-9 12:58,10.579,Gal,2.659,28.13,,18.9054,,Regular,,,1,90
11393,185,2015-8-9 16:50,9.104,Gal,2.799,25.48,,20.3207,,Regular,,,1,92
11650,257,2015-8-13 7:58,13.392,Gal,2.569,34.4,,19.1906,,Regular,,,1,94
11903,253,2015-8-20 10:56,14.435,Gal,2.639,38.09,,17.5268,,Regular,,,1,96
12159,256,2015-8-27 17:48,13.422,Gal,2.599,34.88,,19.0732,,Regular,,,1,98
12414,255,2015-9-2 9:08,13.222,Gal,2.439,32.25,,19.286,,Regular,,,1,100
12643,229,2015-9-11 9:00,12.96,Gal,2.299,29.8,,17.6698,,Regular,,,1,102
12895,252,2015-9-19 7:18,14.266,Gal,2.379,33.94,,17.6644,,Regular,,,1,104
13130,235,2015-9-23 8:45,12.369,Gal,2.259,27.94,,18.9991,,Regular,,,1,106
13362,232,2015-10-1 8:48,12.83,Gal,2.219,28.47,,18.0826,,Regular,,,1,108
13542,180,2015-10-6 13:31,9.769,Gal,2.209,21.58,,18.4256,,Regular,,,1,110
13774,232,2015-10-13 8:50,11.592,Gal,2.209,25.61,,20.0138,,Regular,,,1,112
14002,228,2015-10-19 17:30,12.6,Gal,2.159,27.2,,18.0952,,Regular,,,1,114
14236,234,2015-10-26 17:58,13.254,Gal,2.149,28.48,,17.655,,Regular,,,1,116
14491,255,2015-11-1 15:50,14.33,Gal,2.149,30.8,,17.7948,,Regular,,,1,118
14761,270,2015-11-9 8:59,14.378,Gal,2.399,34.49,,18.7787,,Regular,,,1,120
15017,256,2015-11-17 19:44,14.389,Gal,2.399,34.52,,17.7914,,Regular,,,1,122
15253,236,2015-11-29 13:18,13.67,Gal,2.079,28.42,,17.2641,,Regular,,,1,124
15464,211,2015-12-5 16:50,12.782,Gal,2.279,29.13,,16.5076,,Regular,,,1,126
15712,248,2015-12-10 15:20,13.299,Gal,2.119,28.18,,18.648,,Regular,,,1,128
15958,246,2015-12-17 8:53,10.032,Gal,2.429,24.37,Partial,17.6743,,Premium,,,1,130
16116,158,2015-12-21 13:46,12.826,Gal,2.079,26.67,,17.6743,,Regular,,,1,132
16350,234,2016-1-5 8:56,13.16,Gal,2.069,27.23,,17.7812,,Regular,,,1,134
16558,208,2016-1-11 8:55,12.463,Gal,2.049,25.54,,16.6894,,Regular,,,1,136
16769,211,2016-1-18 8:44,13.188,Gal,1.999,26.36,,15.9994,,Regular,,,1,138
16990,221,2016-1-24 19:22,13.592,Gal,2.099,28.53,,16.2596,,Regular,,,1,140
17137,147,2016-1-30 9:20,9.51,Gal,2.059,19.58,,15.4574,,Regular,,,1,142
17380,243,2016-2-7 18:08,14.133,Gal,1.979,27.97,,17.1938,,Regular,,,1,144
17583,203,2016-2-14 10:57,12.596,Gal,1.929,24.3,,16.1162,,Regular,,,1,146
17781,198,2016-2-16 8:34,11.367,Gal,1.859,21.13,,17.4188,,Regular,,,1,148
18022,241,2016-2-24 8:53,14.381,Gal,1.819,26.16,,16.7582,,Regular,,,1,150
18270,248,2016-3-14 20:49,14.666,Gal,2.159,31.66,,16.9099,,Regular,,,1,152
18512,242,2016-3-21 9:01,13.362,Gal,1.879,25.11,,18.1111,,Regular,,,1,154
18744,232,2016-3-29 8:54,13.221,Gal,2.039,26.96,,17.5478,,Regular,,,1,156
18961,217,2016-4-7 9:02,12.576,Gal,2.059,25.89,,17.2551,,Regular,,,1,158
19214,253,2016-4-13 6:27,14.747,Gal,2.259,33.31,,17.156,,Regular,,,1,160
19412,198,2016-4-18 13:10,10.674,Gal,2.259,24.11,,18.5497,,Regular,,,1,162
19685,273,2016-4-25 17:55,14.081,Gal,2.179,30.68,,19.3878,,Regular,,,1,164
